nom,prenom,contact_Email,contact_Fonction,contact_Note,contact_Telephone_fixe,contact_Telephone_portable,contact_adresse_adresse,contact_adresse_cp,contact_adresse_pays,contact_adresse_ville,structure,struture_Email,struture_Telephone_fixe,struture_adresse_adresse,struture_adresse_cp,struture_adresse_pays,struture_adresse_ville,listes
,,,,,,,,,,,"Salle de spectacle",wahow@wanadoo.fr,"02 56 54 51 52","Wahow
178 route de la mine",18900,,Labas,
Salé,"Jean le Bon",,,,,,,,,,,,,,,,,"Belle ville"
Solers,Stephane,,,,,,,,,,,,,,,,,
Suisse,Margaret,,,,,,,,,,,,,,,,,
Taylor,Elise,,,,,,,,,,,,,,,,,"Campagnes Actives"
Taylor,Elise,,,,,,,,,,"The Ultimates",,"06 58 68 48 78",,,,,
,,,,,,,,,,,"The Ultimates",,"06 58 68 48 78",,,,,musique
,,,,,,,,,,,"The Ultimates",,,,,,,
Toto,Tinitin,,,,,,,,,,,,,,,,,
Toto,Tinitin,,,,,,,,,,"Mairie de la commune",,,,,,,
Yiastckrüll,Yohan,,,,,,,,,,,,,,,,,"conquête spatiale, inscrits newsletter"
Z,Dominique,,,,,,,,,,,,,,,,,
